Elastic Earth IV projection (3 sections):
section 0:
border (8 vertices):
   0.0, -30.0
  45.0, -30.0
  86.0,  11.0
  90.0,  11.0
  90.0,-169.0
 -60.0,-169.0
 -60.0,-105.0
   0.0,-105.0
projected points (11x21 points):
      NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN,       NaN,      NaN
 -54.0,-180.0,  -72.0,-180.0,  -72.0,-144.0,  -72.0, -90.0,  -54.0, -90.0,  -54.0, -90.0,  -36.0, -90.0,  -18.0, -54.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0
 -54.0,-180.0,  -64.9,-179.6,  -68.4,-138.7,  -64.1, -98.7,  -54.0, -90.0,  -36.0, -90.0,  -36.0, -90.0,  -18.0, -54.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0
 -54.0,-180.0,  -57.6,-171.3,  -59.9,-139.0,  -57.2,-107.3,  -54.0, -90.0,  -36.0, -90.0,  -36.0, -90.0,  -18.0, -54.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0
 -54.0,-180.0,  -50.2,-166.5,  -51.1,-139.2,  -48.3,-113.3,  -42.5, -91.9,  -36.0, -90.0,  -18.0, -72.0,  -18.0, -54.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0
 -36.0,-180.0,  -42.5,-163.4,  -41.8,-139.6,  -38.8,-117.5,  -34.7, -97.8,  -36.0, -90.0,  -18.0, -72.0,  -18.0, -54.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0
 -36.0,-180.0,  -34.4,-161.4,  -32.8,-140.1,  -30.0,-119.7,  -26.7,-100.2,  -18.0, -90.0,  -18.0, -72.0,  -18.0, -54.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0
 -18.0,-180.0,  -26.3,-161.3,  -24.2,-141.0,  -21.5,-121.3,  -18.6,-102.4,  -18.0, -84.0,  -18.0, -72.0,  -18.0, -36.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0
 -18.0,-180.0,  -18.2,-161.1,  -15.7,-141.9,  -12.8,-122.5,   -9.2,-102.2,   -9.4, -82.8,  -13.1, -63.6,  -15.6, -43.9,  -15.8, -22.5,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,  -18.0, -18.0,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0
 -18.0,-180.0,   -9.9,-162.0,   -7.2,-143.1,   -4.0,-123.7,    0.2,-101.8,   -0.8, -81.5,   -4.3, -62.5,   -7.1, -43.2,   -7.3, -22.7,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
   0.0,-180.0,   -1.7,-162.9,    1.4,-144.4,    5.8,-123.5,    9.6,-100.7,    8.0, -80.4,    4.3, -61.3,    1.4, -42.6,    1.1, -22.9,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,    0.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
   0.0,-180.0,    6.3,-164.5,   10.1,-145.8,   16.3,-122.0,   18.8, -99.7,   16.8, -79.2,   12.8, -60.0,    9.5, -41.6,    9.1, -23.4,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
  18.0,-180.0,   14.0,-166.3,   18.7,-147.3,   25.6,-122.7,   28.0, -99.6,   25.8, -77.8,   21.2, -58.0,   17.6, -40.7,   17.1, -23.8,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
  18.0,-180.0,   21.3,-168.9,   26.9,-149.8,   34.7,-123.8,   37.1, -99.6,   34.7, -76.0,   29.4, -54.9,   24.6, -36.9,   22.5, -19.4,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
  18.0,-180.0,   28.1,-172.7,   35.0,-152.7,   43.1,-127.1,   46.1, -99.9,   43.7, -73.1,   37.1, -51.2,   30.6, -32.2,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
  36.0,-180.0,   34.5,-176.9,   42.2,-158.3,   50.8,-131.7,   55.2,-100.4,   52.2, -69.1,   44.2, -44.7,   35.0, -27.1,   36.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
  36.0,-180.0,   36.0,-180.0,   48.1,-165.5,   58.4,-139.1,   64.1,-101.3,   60.2, -62.3,   50.3, -36.4,   39.4, -19.8,   36.0, -18.0,   36.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
  36.0,-180.0,   36.0,-180.0,   52.5,-174.1,   65.0,-151.1,   72.0,-108.0,   67.7, -50.8,   55.0, -26.5,   36.0, -18.0,   36.0, -18.0,   36.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
  36.0,-180.0,   54.0, 162.0,   55.8, 174.2,   69.8,-168.6,   90.0,-180.0,   72.0, -36.0,   58.4, -13.2,   54.0,  -0.0,   36.0, -18.0,   36.0, -18.0,   36.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0,   18.0, -18.0
